Date,^IXIC,TSLA,EURUSD=X,BTC-USD,^IXIC_ma_5d,^IXIC_rel_ma_5d,^IXIC_ma_10d,^IXIC_rel_ma_10d,^IXIC_ma_20d,^IXIC_rel_ma_20d,^IXIC_ma_50d,^IXIC_rel_ma_50d,^IXIC_ma_200d,^IXIC_rel_ma_200d,TSLA_ma_5d,TSLA_rel_ma_5d,TSLA_ma_10d,TSLA_rel_ma_10d,TSLA_ma_20d,TSLA_rel_ma_20d,TSLA_ma_50d,TSLA_rel_ma_50d,TSLA_ma_200d,TSLA_rel_ma_200d,EURUSD=X_ma_5d,EURUSD=X_rel_ma_5d,EURUSD=X_ma_10d,EURUSD=X_rel_ma_10d,EURUSD=X_ma_20d,EURUSD=X_rel_ma_20d,EURUSD=X_ma_50d,EURUSD=X_rel_ma_50d,EURUSD=X_ma_200d,EURUSD=X_rel_ma_200d,BTC-USD_ma_5d,BTC-USD_rel_ma_5d,BTC-USD_ma_10d,BTC-USD_rel_ma_10d,BTC-USD_ma_20d,BTC-USD_rel_ma_20d,BTC-USD_ma_50d,BTC-USD_rel_ma_50d,BTC-USD_ma_200d,BTC-USD_rel_ma_200d
2015-07-02,5009.2099609375,18.667999267578125,1.103363037109375,255.41200256347656,5009.63603515625,0.9999149490670061,5071.384033203125,0.9877402161109153,5065.572509765625,0.9888734099216886,5048.935,0.9921319963393269,4805.146215820312,1.0424677493569987,17.95386657714844,1.039775982926075,17.80313320159912,1.0485794301590308,17.368333339691162,1.0748296282935155,16.540239906311037,1.1286413844853138,15.121053314208984,1.2345700315755213,1.1113916635513306,0.9927760602267782,1.1204150915145874,0.9847805920017006,1.1229953169822693,0.9825179325541175,1.1154996156692505,0.9891200513300096,1.1671834367513656,0.9453210201306295,255.55259704589844,0.9994498413084152,249.6968994140625,1.0228881622592234,242.69784927368164,1.0523867571461567,237.4754800415039,1.0755299979553168,289.0922701263428,0.8834964783107246
2015-07-06,4991.93994140625,18.648000717163086,1.0995051860809326,269.0299987792969,4991.9220703125,1.0000035800025517,5058.87802734375,0.9867681953240042,5061.746508789062,0.9862089957958973,5047.65259765625,0.9889626603312858,4807.294965820312,1.038409329341918,18.12226676940918,1.0290103856456498,17.917866516113282,1.040748947448247,17.47026672363281,1.0674136240826306,16.621733264923094,1.1219047027132862,15.127166652679444,1.232749076236296,1.107233190536499,0.9930204364160888,1.1166581869125367,0.9846389870842834,1.1219312131404877,0.980011228142249,1.1160380887985228,0.9851860766370538,1.1662014245986938,0.9428089889868619,260.6397979736328,1.0321907892459035,252.13929901123046,1.066989556305993,244.90174942016603,1.098522160075448,238.12683990478516,1.1297760424102898,288.15075004577636,0.9336432361760575
2015-07-07,4997.4599609375,17.858667373657227,1.1048991680145264,266.2070007324219,4999.72001953125,0.9995479629689421,5043.227001953125,0.990925048387094,5060.538012695312,0.9875353071946956,5045.7601953125,0.9904275604655427,4809.315114746094,1.0391209229801819,18.200400161743165,0.9812238860108004,17.97180004119873,0.9937049896347524,17.50890007019043,1.0199765434758685,16.687666606903075,1.0701716300030677,15.12851999282837,1.18046361323666,1.1087126016616822,0.9965604849792088,1.1134186863899231,0.9923483245974433,1.1216354250907898,0.9850787014194842,1.1165060329437255,0.9896042971674797,1.1653009194135666,0.9481663917081288,262.46839904785156,1.014244006890478,254.06099853515624,1.0478074252533685,246.78764953613282,1.0786885050074024,238.82561981201172,1.1146500988543986,287.35958503723145,0.9263898425310262
2015-07-08,4909.759765625,16.997333526611328,1.1009942293167114,270.7850036621094,4984.29794921875,0.9850453997025934,5018.193994140625,0.9783917822542859,5055.332495117187,0.9712041236391885,5042.750390625,0.9736273631058076,4810.964963378906,1.0205353402068236,18.02306671142578,0.9430877551951696,17.887066650390626,0.9502582988496961,17.505433368682862,0.9709747350225261,16.718879928588866,1.0166550390463847,15.127066659927369,1.1236371141034516,1.1044521093368531,0.996869144446455,1.1100274801254273,0.9918621376763617,1.120280373096466,0.9827845383683305,1.1167879700660706,0.9858578878241098,1.1643458586931228,0.9455903682712299,264.01100158691406,1.0256580295308841,256.7098983764648,1.0548288374334651,248.87449951171874,1.0880383654949708,239.65559997558594,1.1298922440773118,286.7395301055908,0.9443588177827932
2015-07-09,4922.39990234375,17.19466781616211,1.1071009635925293,269.2279968261719,4966.15390625,0.9911895594191746,4998.19296875,0.9848359063205188,5047.617993164063,0.9751926372023607,5040.089990234375,0.9766492090183587,4812.938513183593,1.0227431513742218,17.873333740234376,0.9620291360338372,17.83873348236084,0.9638951012505685,17.529500102996828,0.9808989255331089,16.755466632843017,1.026212411324803,15.129696664810181,1.136484636612365,1.103172516822815,1.0035610448137597,1.1090157151222229,0.9982734676311755,1.1191401600837707,0.9892424587012049,1.1171740698814392,0.9909834048601048,1.1634606528282165,0.9515585773367716,266.1324005126953,1.011631790445331,259.58119812011716,1.0371629331242658,250.89574966430663,1.0730671890073602,240.5230599975586,1.1193438035791856,286.0749100494385,0.9411101336347352
2015-07-10,4997.7001953125,17.27666664123535,1.1063048839569092,284.8940124511719,4963.851953125,1.0068189467589157,4986.743994140625,1.0021970650959322,5043.377514648438,0.9909431092153486,5039.57119140625,0.9916915557884863,4815.383564453125,1.0378612894319004,17.59506721496582,0.9819039865071021,17.774466896057127,0.9719935198207154,17.55530004501343,0.9841282459961587,16.791066627502442,1.0289201409598088,15.132609996795654,1.1416845240109739,1.1037608861923218,1.0023048450043954,1.107576274871826,0.9988520962901052,1.117895597219467,0.9896316674907859,1.1173619246482849,0.9901043337458844,1.1625664329528809,0.9516057341746319,272.0288024902344,1.047293558046668,263.7906997680664,1.0800002149494285,253.6552001953125,1.1231546297170558,241.7047802734375,1.1786858833692695,285.32042518615725,0.9985054952350251
2015-07-13,5071.509765625,17.477333068847656,1.1129041910171509,292.0539855957031,4979.76591796875,1.01842332534652,4985.843994140625,1.0171817994275492,5044.397998046875,1.0053746289623902,5042.17298828125,1.0058182806127305,4817.965012207032,1.0526248639779605,17.360933685302733,1.0067046730121125,17.741600227355956,0.9851046605085361,17.593533325195313,0.9933952859724176,16.839213294982912,1.0378948685242242,15.135949993133545,1.1546901963058998,1.1064406871795653,1.0058417083829967,1.1068369388580321,1.0054816133669866,1.117337667942047,0.9960321064508083,1.1173913645744324,0.9959842417799689,1.161703971028328,0.9579929300164309,276.63359985351565,1.0557429963328857,268.6366989135742,1.0871708399367381,256.75879974365233,1.1374643668972182,242.82295989990234,1.2027445251309639,284.6646701812744,1.0259579645402543
2015-07-14,5104.89013671875,17.709999084472656,1.099045991897583,287.4639892578125,5001.251953125,1.0207224480120407,5000.485986328125,1.0208788007157859,5048.143994140625,1.0112409912720377,5044.16298828125,1.0120390932209333,4821.155712890625,1.0588519518399886,17.33120002746582,1.021856481744284,17.765800094604494,0.9968590769999273,17.644433307647706,1.0037159468758077,16.89203992843628,1.0484227576717609,15.142183322906494,1.1695802848775232,1.1052700519561767,0.9943687426909126,1.1069913268089295,0.9928225861224675,1.116190242767334,0.9846403863670714,1.1169429659843444,0.9839768236769466,1.160810159444809,0.9467921890201525,280.88499755859374,1.0234223677177574,271.6766983032227,1.058110581633208,259.29084930419924,1.1086545862656365,243.93065979003907,1.1784660013843455,284.0441201019287,1.01203992237071
2015-07-15,5098.93994140625,17.542667388916016,1.1008002758026123,285.8290100097656,5039.08798828125,1.0118775368209862,5011.69296875,1.0174086826947044,5050.313500976563,1.0096284003795575,5045.80318359375,1.010530881978368,4824.089462890625,1.0569745815515894,17.440266799926757,1.0058715035821406,17.73166675567627,0.98934113925304,17.677833366394044,0.9923539285229953,16.93554660797119,1.03584890378791,15.147696657180786,1.158107914750187,1.105231261253357,0.9959908974654591,1.104841685295105,0.9963420917709008,1.1148452162742615,0.9874018919697333,1.116587107181549,0.9858615317359474,1.1599356335401536,0.9490184144467925,283.893798828125,1.0068166729587928,273.95240020751953,1.043352822582498,261.0375495910645,1.094972774826989,244.8668798828125,1.1672832607927892,283.4511402130127,1.0083889935844532
2015-07-16,5163.18017578125,17.778667449951172,1.0943553447723389,278.0889892578125,5087.24404296875,1.014926772171949,5026.698974609375,1.0271512580843338,5055.228515625,1.021354457038408,5050.280185546875,1.0223551933925323,4827.37611328125,1.069562440261517,17.55706672668457,1.0126217395374932,17.715200233459473,1.003582641779675,17.698733425140382,1.0045163697814243,16.98051996231079,1.0470037130436474,15.154836654663086,1.1731348779982227,1.1026821374893188,0.9924486010665421,1.102927327156067,0.9922279717143003,1.11335289478302,0.982936632131914,1.1161759305000305,0.9804505856725325,1.1590708369016647,0.9441660595116705,285.66599731445314,0.9734759889945876,275.8991989135742,1.0079369217194583,262.4777992248535,1.0594762302909495,245.70623962402342,1.1317945758452888,282.9642501068115,0.9827707533825961
